QRG TX,QRG RX,Call,QTH,Locator,Alt.,Remarks,Status,lat,lon
438.6250,431.0250,HB9BSL,Liestal,JN37UL,452m,C4FM #31448 NFM T71.9,1,"47.4839723","7.7347783"
438.6250,431.0250,HB9LU,Luzern,JN47DB,683m,DMR-B #228613 CC1,1,"47.0505452","8.3054682"
438.6500,431.0500,HB9UF,Uetliberg,JN47FI,870m,C4FM #17098 FM T71.9,1,"47.3496439","8.4911346"
438.6500,431.0500,HB9Y,Roc Blanc,JN36MC,1701m,EL#66814 +C4FM*,1,46.1041667,7.0416667
438.6625,431.0625,HB9RD,Châtonnaye,JN36LS,687m,DMR-B #228112 CC1,1,"46.752828","6.938321"
438.6750,431.0750,HB9ZG,Hünenberg ZG,JN47FE,471m,EL#81765 T71.9 <>Affolt.,1,"47.1751834","8.4259648"
438.6750,431.0750,HB9UHF,Muttenz,JN37TM,285m,"EL#438675 FM T71.9 ""M""",1,"47.525113","7.6477401"
438.6750,431.0750,HB9EI,Monte Bar TI,JN46MC,1816m,EL#415650 FM T103.5,1,"46.1077522","9.0118115"
438.6750,431.0750,HB9Y,Moosalpe,JN36WG,2123m,EL#68050 FM T103.5,1,46.2708333,7.8750000
438.6750,431.0750,HB9GE,Genève,JN36BF,449m,DMR-B #228101 CC1,1,"46.2256509","6.1439209"
438.6750,431.0750,HB9DR,St. Gallen,JN47QJ,767m,D-STAR* CCS#90062,1,47.3958333,9.3750000
438.6750,431.0750,HB9DR,Rheineck,JN47IL,450m,DMR-I #228905 CC1 SWISS,1,47.4791667,8.7083333
438.7000,431.1000,HB9BA,Weissenstein,JN37SG,1280m,FM T123.0 1750Hz <>HB9ND,1,"47.2531649","7.5080204"
438.7250,431.1250,HB9XC,Chasseral,JN37MD,1595m,FM T67.0 1750Hz,1,"47.132993","7.0592994"
438.7250,431.1250,HB9EE,Eglisau,JN47GN,554m,FM T69.3 C4FM* local,1,"47.5733207","8.5239827"
438.7375,431.1375,HB9RAR,Morlon,JN36MO,785m,DMR-I #228105 CC1 FRANCE,1,46.6041667,7.0416667
438.7500,431.1500,HB9UF,Säntis,JN47QF,2502m,"C4FM* FM T71.9 ""S""",1,"47.2491613","9.3432219"
438.7750,431.1750,HB9FS,Sissacherflue,JN37VL,701m,FM 1750Hz,1,47.4791667,7.7916667
438.7750,431.1750,HB9RL,Cimetta,JN46JE,1633m,C4FM #17313 FM T103.5,1,"46.2008368","8.7910222"
438.7750,431.1750,HB9CF,Seelisberg UR,JN46GW,1288m,FM 1750Hz,1,"46.9416506","8.5568652"
438.8000,431.2000,HB9UF,Pilatus,JN46DX,2120m,"EL#40107 FM T71.9 ""P""",1,46.9791667,8.2916667
438.8250,431.2250,HB9CF,Rigi Scheidegg,JN47GA,1648m,EL#37913 T71.9 <>Bachtel,1,"47.0274441","8.5195668"
